mean reward before training:0.4040285482880374
mean reward at round 0:1.3198729125702058
mean reward at round 1:1.3198729125702058
mean reward at round 2:1.3198729125702058
mean reward at round 3:1.3198729125702058
mean reward at round 4:1.3198729125702058
mean reward at round 5:1.3198729125702058
mean reward at round 6:1.3198729125702058
mean reward at round 7:1.3198729125702058
mean reward at round 8:1.3198729125702058
mean reward at round 9:1.3198729125702058
mean reward at round 10:1.3198729125702058
mean reward at round 11:1.3198729125702058
mean reward at round 12:1.3198729125702058
mean reward at round 13:1.3198729125702058
mean reward at round 14:1.3198729125702058
mean reward at round 15:1.3198729125702058
mean reward at round 16:1.3198729125702058
mean reward at round 17:1.3198729125702058
mean reward at round 18:1.3198729125702058
mean reward at round 19:1.3198729125702058
mean reward at round 20:24.229643075420807
mean reward at round 21:24.229643075420807
mean reward at round 22:24.229643075420807
mean reward at round 23:24.229643075420807
mean reward at round 24:24.229643075420807
mean reward at round 25:24.229643075420807
mean reward at round 26:24.229643075420807
mean reward at round 27:24.229643075420807
mean reward at round 28:24.229643075420807
mean reward at round 29:24.229643075420807
mean reward at round 30:24.229643075420807
mean reward at round 31:24.229643075420807
mean reward at round 32:24.229643075420807
mean reward at round 33:24.229643075420807
mean reward at round 34:24.229643075420807
mean reward at round 35:24.229643075420807
mean reward at round 36:24.229643075420807
mean reward at round 37:24.229643075420807
mean reward at round 38:24.229643075420807
mean reward at round 39:24.229643075420807
mean reward at round 40:52.196803518006845
mean reward at round 41:52.196803518006845
mean reward at round 42:52.196803518006845
mean reward at round 43:52.196803518006845
mean reward at round 44:52.196803518006845
mean reward at round 45:52.196803518006845
mean reward at round 46:52.196803518006845
mean reward at round 47:52.196803518006845
mean reward at round 48:52.196803518006845
mean reward at round 49:52.196803518006845
mean reward at round 50:52.196803518006845
mean reward at round 51:52.196803518006845
mean reward at round 52:52.196803518006845
mean reward at round 53:52.196803518006845
mean reward at round 54:52.196803518006845
mean reward at round 55:52.196803518006845
mean reward at round 56:52.196803518006845
mean reward at round 57:52.196803518006845
mean reward at round 58:52.196803518006845
mean reward at round 59:52.196803518006845
mean reward at round 60:52.0857478060923
mean reward at round 61:52.0857478060923
mean reward at round 62:52.0857478060923
mean reward at round 63:52.0857478060923
mean reward at round 64:52.0857478060923
mean reward at round 65:52.0857478060923
mean reward at round 66:52.0857478060923
mean reward at round 67:52.0857478060923
mean reward at round 68:52.0857478060923
mean reward at round 69:52.0857478060923
mean reward at round 70:52.0857478060923
mean reward at round 71:52.0857478060923
mean reward at round 72:52.0857478060923
mean reward at round 73:52.0857478060923
mean reward at round 74:52.0857478060923
mean reward at round 75:52.0857478060923
mean reward at round 76:52.0857478060923
mean reward at round 77:52.0857478060923
mean reward at round 78:52.0857478060923
mean reward at round 79:52.0857478060923
mean reward at round 80:95.6741527204696
mean reward at round 81:95.6741527204696
mean reward at round 82:95.6741527204696
mean reward at round 83:95.6741527204696
mean reward at round 84:95.6741527204696
mean reward at round 85:95.6741527204696
mean reward at round 86:95.6741527204696
mean reward at round 87:95.6741527204696
mean reward at round 88:95.6741527204696
mean reward at round 89:95.6741527204696
mean reward at round 90:95.6741527204696
mean reward at round 91:95.6741527204696
mean reward at round 92:95.6741527204696
mean reward at round 93:95.6741527204696
mean reward at round 94:95.6741527204696
mean reward at round 95:95.6741527204696
mean reward at round 96:95.6741527204696
